,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
DE Bollinger,21.0,17.44736842105263,6.63,0.9130434782608695,0.43478260869565216,15.789473684210526
AB Barath,21.0,0.0,0.0,0.9767441860465116,0.6046511627906976,0.0
KP Appanna,2.0,30.88888888888889,7.513513513513513,0.5,0.0,24.666666666666668
PP Chawla,14.083333333333334,25.166666666666668,7.385869565217392,1.0950323974082072,0.6004319654427646,20.444444444444443
Z Khan,9.75,26.12621359223301,7.09402460456942,0.8297872340425532,0.3971631205673759,22.097087378640776
F du Plessis,35.97222222222222,16.0,16.0,1.2416107382550337,0.6404602109300096,6.0
JH Kallis,30.3375,34.12307692307692,7.422197434467373,1.0593627237014405,0.5604539502400698,27.584615384615386
AM Rahane,35.5,5.0,5.0,1.170016077170418,0.632636655948553,6.0
SB Wagh,2.0,26.2,7.277777777777778,0.6666666666666666,0.0,21.6
M Rawat,11.0,0.0,0.0,0.7857142857142857,0.3142857142857143,0.0
TA Boult,5.0,31.333333333333332,7.943661971830986,0.625,0.0,23.666666666666668
DJ Muthuswami,1.0,25.25,7.214285714285714,0.3333333333333333,0.0,21.0
V Shankar,50.5,19.0,19.0,1.3116883116883118,0.7012987012987013,6.0
Joginder Sharma,12.0,33.5,8.867647058823529,1.2,0.5333333333333333,22.666666666666668
AP Majumdar,21.75,0.0,0.0,1.12987012987013,0.5194805194805194,0.0
M Klinger,18.25,0.0,0.0,0.9358974358974359,0.46153846153846156,0.0
K Goel,19.818181818181817,92.0,8.238805970149254,0.9121338912133892,0.5104602510460251,67.0
TL Suman,23.310344827586206,32.5,7.697368421052632,1.151618398637138,0.6405451448040886,25.333333333333332
SS Iyer,28.821428571428573,0.0,0.0,1.2320610687022902,0.7755725190839695,0.0
V Sehwag,29.703296703296704,38.833333333333336,10.130434782608695,1.4933701657458565,1.0806629834254144,23.0
Iqbal Abdulla,88.0,27.075,6.890774125132555,1.0232558139534884,0.4883720930232558,23.575
J Theron,10.0,26.181818181818183,7.353191489361702,0.9090909090909091,0.36363636363636365,21.363636363636363
C Nanda,0.0,27.5,6.6,0.0,0.0,25.0
DJ Bravo,23.81132075471698,21.78688524590164,7.558293838862559,1.2228682170542635,0.6744186046511628,17.295081967213115
B Akhil,15.2,39.166666666666664,7.305699481865285,1.3333333333333333,0.8771929824561403,32.166666666666664
AG Paunikar,9.8,0.0,0.0,0.8032786885245902,0.5901639344262295,0.0
S Sreesanth,11.333333333333334,27.121951219512194,7.045406546990496,0.5964912280701754,0.42105263157894735,23.097560975609756
SR Watson,33.116883116883116,26.802325581395348,7.132542547705002,1.3513513513513513,0.9072602013778485,22.546511627906977
YS Chahal,15.0,21.885714285714286,7.540607054963084,0.5172413793103449,0.0,17.414285714285715
LRPL Taylor,26.763157894736842,23.0,10.615384615384615,1.2007083825265643,0.6375442739079102,13.0
PM Sarvesh Kumar,1.0,41.0,7.935483870967742,0.5,0.0,31.0
AG Murtaza,10.0,33.77777777777778,6.780669144981412,0.7142857142857143,0.2857142857142857,29.88888888888889
SP Goswami,17.214285714285715,0.0,0.0,0.926923076923077,0.4461538461538462,0.0
K Rabada,18.333333333333332,29.0,7.62043795620438,0.8088235294117647,0.38235294117647056,22.833333333333332
NJ Maddinson,6.666666666666667,0.0,0.0,0.9523809523809523,0.7619047619047619,0.0
CJ Ferguson,19.6,0.0,0.0,0.8235294117647058,0.3025210084033613,0.0
DJ Harris,37.0,26.0,8.666666666666666,1.0776699029126213,0.7184466019417476,18.0
BJ Haddin,18.0,0.0,0.0,1.6363636363636365,1.2727272727272727,0.0
